match_id,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
23520,1999-05-07,Bermuda,Cayman Islands,4.0,1.0,CFU Caribbean Cup qualification,Hamilton,Bermuda,False
23521,1999-05-07,Cuba,Bahamas,7.0,0.0,CFU Caribbean Cup qualification,Hamilton,Bermuda,True
23522,1999-05-08,Curaçao,Suriname,1.0,1.0,CFU Caribbean Cup qualification,Willemstad,Curaçao,False
23523,1999-05-08,Namibia,Mali,0.0,0.0,African Cup of Nations qualification,Windhoek,Namibia,False
23524,1999-05-09,Bermuda,Cuba,1.0,2.0,CFU Caribbean Cup qualification,Hamilton,Bermuda,False
23525,1999-05-09,Cayman Islands,Bahamas,4.0,1.0,CFU Caribbean Cup qualification,Hamilton,Bermuda,True
23526,1999-05-09,Eswatini,Mozambique,3.0,1.0,COSAFA Cup qualification,Lobamba,Swaziland,False
23527,1999-05-09,Jamaica,South Africa,1.0,1.0,Friendly,Kingston,Jamaica,False
23528,1999-05-16,Eswatini,Botswana,2.0,1.0,Friendly,Lobamba,Swaziland,False
23529,1999-05-16,Libya,Senegal,2.0,1.0,Friendly,Tripoli,Libya,False
23530,1999-05-19,Russia,Belarus,1.0,1.0,Friendly,Tula,Russia,False
23531,1999-05-19,Slovakia,Bulgaria,2.0,0.0,Friendly,Dubnica nad Váhom,Slovakia,False
23532,1999-05-20,Norway,Jamaica,6.0,0.0,Friendly,Oslo,Norway,False
23533,1999-05-21,Haiti,Honduras,0.0,2.0,Friendly,Miami,United States,True
23534,1999-05-22,Malawi,Namibia,1.0,1.0,COSAFA Cup qualification,Blantyre,Malawi,False
23535,1999-05-22,Uganda,Zambia,0.0,1.0,Friendly,Kampala,Uganda,False
23536,1999-05-27,Sweden,Jamaica,2.0,1.0,Friendly,Solna,Sweden,False
23537,1999-05-28,Botswana,Mozambique,0.0,2.0,COSAFA Cup qualification,Gaborone,Botswana,False
23538,1999-05-29,Canada,Guatemala,1.0,0.0,Friendly,Toronto,Canada,False
23539,1999-05-29,Chile,Costa Rica,3.0,0.0,Friendly,Concepción,Chile,False
23540,1999-05-29,El Salvador,Colombia,2.0,1.0,Friendly,East Rutherford,United States,True
23541,1999-05-29,Republic of Ireland,Northern Ireland,0.0,1.0,Friendly,Dublin,Republic of Ireland,False
23542,1999-05-29,Saint Kitts and Nevis,Antigua and Barbuda,4.0,1.0,Friendly,Basseterre,Saint Kitts and Nevis,False
23543,1999-05-30,Belgium,Peru,1.0,1.0,Kirin Cup,Kyoto,Japan,True
23544,1999-05-30,Lesotho,Mauritius,1.0,2.0,Friendly,Maseru,Lesotho,False
23545,1999-05-30,Norway,Georgia,1.0,0.0,UEFA Euro qualification,Oslo,Norway,False
23546,1999-06-01,Mali,Senegal,1.0,1.0,Friendly,Bamako,Mali,False
23547,1999-06-02,Canada,Guatemala,2.0,0.0,Friendly,Edmonton,Canada,False
23548,1999-06-02,Ecuador,Iran,1.0,1.0,Friendly,Edmonton,Canada,True
23549,1999-06-03,Grenada,Guadeloupe,2.0,1.0,CFU Caribbean Cup,Port of Spain,Trinidad and Tobago,True
23550,1999-06-03,Japan,Belgium,0.0,0.0,Kirin Cup,Tokyo,Japan,False
23551,1999-06-03,Trinidad and Tobago,Jamaica,1.0,0.0,CFU Caribbean Cup,Port of Spain,Trinidad and Tobago,False
23552,1999-06-04,Canada,Iran,0.0,1.0,Friendly,Edmonton,Canada,False
23553,1999-06-04,Cuba,Haiti,3.0,1.0,CFU Caribbean Cup,Macoya,Trinidad and Tobago,True
23554,1999-06-04,Ecuador,Guatemala,3.0,1.0,Friendly,Edmonton,Canada,True
23555,1999-06-04,Germany,Moldova,6.0,1.0,UEFA Euro qualification,Leverkusen,Germany,False
23556,1999-06-04,Poland,Bulgaria,2.0,0.0,UEFA Euro qualification,Warsaw,Poland,False
23557,1999-06-05,Albania,Norway,1.0,2.0,UEFA Euro qualification,Tirana,Albania,False
23558,1999-06-05,Azerbaijan,Liechtenstein,4.0,0.0,UEFA Euro qualification,Baku,Azerbaijan,False
23559,1999-06-05,Bosnia and Herzegovina,Lithuania,2.0,0.0,UEFA Euro qualification,Sarajevo,Bosnia and Herzegovina,False
23560,1999-06-05,Brazil,Netherlands,2.0,2.0,Friendly,Salvador,Brazil,False
23561,1999-06-05,Denmark,Belarus,1.0,0.0,UEFA Euro qualification,Copenhagen,Denmark,False
23562,1999-06-05,England,Sweden,0.0,0.0,UEFA Euro qualification,London,England,False
23563,1999-06-05,Estonia,Czech Republic,0.0,2.0,UEFA Euro qualification,Tallinn,Estonia,False
23564,1999-06-05,Faroe Islands,Scotland,1.0,1.0,UEFA Euro qualification,Toftir,Faroe Islands,False
23565,1999-06-05,Finland,Turkey,2.0,4.0,UEFA Euro qualification,Helsinki,Finland,False
23566,1999-06-05,France,Russia,2.0,3.0,UEFA Euro qualification,Saint-Denis,France,False
23567,1999-06-05,Georgia,Greece,1.0,2.0,UEFA Euro qualification,Tbilisi,Georgia,False
23568,1999-06-05,Guam,Micronesia,3.0,0.0,Friendly,Hagätña,Guam,False
23569,1999-06-05,Iceland,Armenia,2.0,0.0,UEFA Euro qualification,Reykjavík,Iceland,False
23570,1999-06-05,Italy,Wales,4.0,0.0,UEFA Euro qualification,Bologna,Italy,False
23571,1999-06-05,Jamaica,Guadeloupe,5.0,1.0,CFU Caribbean Cup,Port of Spain,Trinidad and Tobago,True
23572,1999-06-05,Latvia,Slovenia,1.0,2.0,UEFA Euro qualification,Riga,Latvia,False
23573,1999-06-05,Namibia,Ivory Coast,1.0,1.0,African Cup of Nations qualification,Windhoek,Namibia,False
23574,1999-06-05,North Macedonia,Croatia,1.0,1.0,UEFA Euro qualification,Skopje,North Macedonia,False
23575,1999-06-05,Portugal,Slovakia,1.0,0.0,UEFA Euro qualification,Lisbon,Portugal,False
23576,1999-06-05,Romania,Hungary,2.0,0.0,UEFA Euro qualification,Bucharest,Romania,False
23577,1999-06-05,South Africa,Mauritius,2.0,0.0,African Cup of Nations qualification,Durban,South Africa,False
